game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures
0,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
1,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
2,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
3,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
4,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
5,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
6,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
7,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
8,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
9,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
10,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
11,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
12,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
13,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
14,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
15,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
16,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
17,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
18,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
19,RandomAgent,RandomAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,0
